work_id	author	title	edition_file	other_editions	priority
grc.tlg0001.tlg001	Apollonius Rhodius	Argonautica	tlg0001.tlg001.perseus-grc2.xml		2
grc.tlg0003.tlg001	Thucydides	Ἱστορίαι	tlg0003.tlg001.perseus-grc2.xml		2
grc.tlg0004.tlg001	Diogenes Laertius	Βίοι καὶ γνῶμαι τῶν ἐν φιλοσοφίᾳ εὐδοκιμησάντων	tlg0004.tlg001.perseus-grc2.xml		2
grc.tlg0005.tlg001	Theocritus	Εἰδύλλια	tlg0005.tlg001.perseus-grc2.xml		2
grc.tlg0005.tlg002	Theocritus	Ἐπιγράμματα	tlg0005.tlg002.perseus-grc2.xml		2
grc.tlg0006.tlg001	Euripides	Κύκλωψ	tlg0006.tlg001.perseus-grc2.xml		2
grc.tlg0006.tlg002	Euripides	Ἄλκηστις	tlg0006.tlg002.perseus-grc2.xml		2
grc.tlg0006.tlg003	Euripides	Μήδεια	tlg0006.tlg003.perseus-grc2.xml		2
grc.tlg0006.tlg004	Euripides	Ἡρακλεῖδαι	tlg0006.tlg004.perseus-grc2.xml		2
grc.tlg0006.tlg005	Euripides	Ἱππόλυτος	tlg0006.tlg005.perseus-grc2.xml		2
grc.tlg0006.tlg006	Euripides	Ἀνδρομάχη	tlg0006.tlg006.perseus-grc2.xml		2
grc.tlg0006.tlg007	Euripides	Ἑκάβη	tlg0006.tlg007.perseus-grc2.xml		2
grc.tlg0006.tlg008	Euripides	Ἱκέτιδες	tlg0006.tlg008.perseus-grc2.xml		2
grc.tlg0006.tlg009	Euripides	Ἡρακλῆς	tlg0006.tlg009.perseus-grc2.xml		2
grc.tlg0006.tlg010	Euripides	Ἴων	tlg0006.tlg010.perseus-grc2.xml		2
grc.tlg0006.tlg011	Euripides	Τρῳάδες	tlg0006.tlg011.perseus-grc2.xml		2
grc.tlg0006.tlg012	Euripides	Ἠλέκτρα	tlg0006.tlg012.perseus-grc2.xml		2
grc.tlg0006.tlg013	Euripides	Ἰφιγένεια ἐν Ταύροις	tlg0006.tlg013.perseus-grc2.xml		2
grc.tlg0006.tlg014	Euripides	Ἑλένη	tlg0006.tlg014.perseus-grc2.xml		2
grc.tlg0006.tlg015	Euripides	Φοίνισσαι	tlg0006.tlg015.perseus-grc2.xml		2
grc.tlg0006.tlg016	Euripides	Ὀρέστης	tlg0006.tlg016.perseus-grc2.xml		2
grc.tlg0006.tlg017	Euripides	Βάκχαι	tlg0006.tlg017.perseus-grc2.xml		2
grc.tlg0006.tlg018	Euripides	Ἰφιγένεια ἐν Αὐλίδι	tlg0006.tlg018.perseus-grc2.xml		2
grc.tlg0006.tlg019	Euripides	Ῥῆσος	tlg0006.tlg019.perseus-grc2.xml		2
grc.tlg0007.tlg001	Plutarch	Θησεύς	tlg0007.tlg001.perseus-grc2.xml		2
grc.tlg0007.tlg002	Plutarch	Ῥωμύλος	tlg0007.tlg002.perseus-grc2.xml		2
grc.tlg0007.tlg003	Plutarch	Θησέως καὶ Ῥωμύλου σύγκρισις	tlg0007.tlg003.perseus-grc2.xml		2
grc.tlg0007.tlg004	Plutarch	Λυκοῦργος	tlg0007.tlg004.perseus-grc2.xml		2
grc.tlg0007.tlg005	Plutarch	Νομᾶς	tlg0007.tlg005.perseus-grc2.xml		2
grc.tlg0007.tlg006	Plutarch	Λυκούργου καὶ Νομᾶ σύγκρισις	tlg0007.tlg006.perseus-grc2.xml		2
grc.tlg0007.tlg007	Plutarch	Σόλων	tlg0007.tlg007.perseus-grc2.xml		2
grc.tlg0007.tlg008	Plutarch	Ποπλικόλας	tlg0007.tlg008.perseus-grc2.xml		2
grc.tlg0007.tlg009	Plutarch	Σόλωνος καὶ Ποπλικόλα σύγκρισις	tlg0007.tlg009.perseus-grc2.xml		2
grc.tlg0007.tlg010	Plutarch	Θεμιστοκλῆς	tlg0007.tlg010.perseus-grc2.xml		2
grc.tlg0007.tlg011	Plutarch	Κάμιλλος	tlg0007.tlg011.perseus-grc2.xml		2
grc.tlg0007.tlg012	Plutarch	Περικλῆς	tlg0007.tlg012.perseus-grc2.xml		2
grc.tlg0007.tlg013	Plutarch	Φάβιος Μάξιμος	tlg0007.tlg013.perseus-grc2.xml		2
grc.tlg0007.tlg014	Plutarch	Περικλέους καὶ Φαβίου σύγκρισις	tlg0007.tlg014.perseus-grc2.xml		2
grc.tlg0007.tlg015	Plutarch	Ἀλκιβιάδης	tlg0007.tlg015.perseus-grc2.xml		2
grc.tlg0007.tlg016	Plutarch	Γάϊος Μάρκιος	tlg0007.tlg016.perseus-grc2.xml		2
grc.tlg0007.tlg017	Plutarch	Ἀλκιβιάδου καὶ Κοριολὰνου σύγκρισις	tlg0007.tlg017.perseus-grc2.xml		2
grc.tlg0007.tlg018	Plutarch	Τιμολέων	tlg0007.tlg018.perseus-grc2.xml		2
grc.tlg0007.tlg019	Plutarch	Αἰμίλιος Παῦλλος	tlg0007.tlg019.perseus-grc2.xml		2
grc.tlg0007.tlg020	Plutarch	Σύγκρισις Τιμολέοντος καὶ Αἰμιλίου	tlg0007.tlg020.perseus-grc2.xml		2
